date,close,open,high,low,vol,pct_change,return,log_return,volatility_20d
2016-01-21,7276.8,7376.65,7398.7,7250.0,248.11,-0.44,-0.00444639021520532,-0.004456304808527721,0.15230927190559174
2016-01-22,7422.45,7355.7,7433.4,7327.6,236.28,2.0,0.020015666226912865,0.019817986224223778,0.1738841234107656
2016-01-25,7436.15,7468.75,7487.15,7421.2,168.2,0.18,0.001845751739654622,0.0018440504330504684,0.17000579482321607
2016-01-27,7437.75,7469.6,7477.9,7419.7,193.39,0.02,0.00021516510559904667,0.00021514196090760673,0.16993284109842444
2016-01-28,7424.65,7426.5,7468.85,7409.6,283.04,-0.18,-0.0017612853349467938,-0.001762838221614563,0.1699680949884532
2016-01-29,7563.55,7413.35,7575.65,7402.8,307.93,1.87,0.018707952563420616,0.01853511116378017,0.18388475060113738
2016-02-01,7555.95,7589.5,7600.45,7541.25,206.64,-0.1,-0.0010048191656034655,-0.0010053243348120673,0.18318429729619307
2016-02-02,7455.55,7566.65,7576.3,7428.05,237.34,-1.33,-0.01328754160628376,-0.013376610874904342,0.17364876176344404
2016-02-03,7361.8,7392.45,7419.4,7350.3,197.86,-1.26,-0.01257452501827494,-0.012654253427677708,0.1774437868481798
2016-02-04,7404.0,7411.45,7457.05,7365.95,229.56,0.57,0.005732293732511051,0.005715926654272561,0.1795965791400379
2016-02-05,7489.1,7418.25,7503.15,7406.65,257.52,1.15,0.011493787142085488,0.011428235384442176,0.16874784571129636
2016-02-08,7387.25,7489.7,7512.55,7363.2,176.76,-1.36,-0.013599764991788166,-0.013693088883640953,0.17390497161779225
2016-02-09,7298.2,7303.95,7323.45,7275.15,218.73,-1.21,-0.012054553453585637,-0.012127798804870539,0.17765969516381208
2016-02-10,7215.7,7264.3,7271.85,7177.75,254.48,-1.13,-0.011304157189443997,-0.011368534790472756,0.17998164302793188
2016-02-11,6976.35,7203.6,7208.65,6959.95,301.3,-3.32,-0.03317072494699047,-0.03373335025025544,0.20880438312474728
2016-02-12,6980.95,7023.65,7034.8,6869.0,344.21,0.07,0.0006593705877715461,0.0006591532984963952,0.20946346923103273
2016-02-15,7162.95,7057.35,7182.8,7056.8,365.22,2.61,0.026070950228836987,0.02573689662749143,0.23085410726110842
2016-02-16,7048.25,7201.25,7204.65,7037.7,261.61,-1.6,-0.01601295555602089,-0.01614254823202739,0.233857501685832
2016-02-17,7108.45,7058.85,7123.7,6960.65,268.02,0.85,0.008541127230163426,0.008504858175728582,0.23187659908292027
2016-02-18,7191.75,7177.4,7215.1,7127.85,254.33,1.17,0.011718447762873785,0.01165031848362057,0.22993267146000018
2016-02-19,7210.75,7170.55,7226.85,7145.95,198.21,0.26,0.0026419160844022294,0.002638432358562314,0.22981983316822216
2016-02-22,7234.55,7208.85,7252.4,7200.7,159.16,0.33,0.0033006275352771564,0.0032951924204565474,0.21764918224541993
2016-02-23,7109.55,7240.3,7241.7,7090.7,200.4,-1.73,-0.017278199749811707,-0.01742920982584184,0.22461818532757274
2016-02-24,7018.7,7075.0,7090.8,7009.75,205.9,-1.28,-0.012778586549078375,-0.012860934969299378,0.22749538864917687
2016-02-25,6970.6,7029.85,7034.2,6961.4,291.93,-0.69,-0.006853120948323688,-0.006876711422382299,0.22788038546725942
2016-02-26,7029.75,7039.3,7052.9,6985.1,213.14,0.85,0.008485639686683921,0.008449839031309078,0.2177345725785345
2016-02-29,6987.05,7050.45,7094.6,6825.8,487.97,-0.61,-0.00607418471496135,-0.006092707620728847,0.21766091544330682
2016-03-01,7222.3,7038.25,7235.5,7035.1,283.56,3.37,0.033669431305057174,0.03311502604036025,0.2508801536101143
2016-03-02,7368.85,7321.7,7380.35,7308.15,348.97,2.03,0.020291319939631514,0.020088194301993236,0.25853154284409974
2016-03-03,7475.6,7429.55,7483.95,7406.05,287.25,1.45,0.01448665666962956,0.01438272757981807,0.2628460899157918
2016-03-04,7485.35,7505.4,7505.9,7444.1,290.44,0.13,0.0013042431376746322,0.0013033933513985744,0.25969140539464175
2016-03-08,7485.3,7486.4,7527.15,7442.15,264.94,0.0,-6.679714375401602e-06,-6.679736684793017e-06,0.25463237406745404
2016-03-09,7531.8,7436.1,7539.0,7424.3,252.71,0.62,0.006212175864694691,0.006192959841356403,0.2507041013114655
2016-03-10,7486.15,7545.35,7547.1,7447.4,231.58,-0.61,-0.006060968161661351,-0.006079410385437102,0.24776802536284728
2016-03-11,7510.2,7484.85,7543.95,7460.6,204.81,0.32,0.0032125992666458547,0.0032074498952521847,0.20910528375443194
2016-03-14,7538.75,7542.6,7583.7,7515.05,172.07,0.38,0.003801496631248291,0.0037942892031638392,0.20879912609200973
2016-03-15,7460.6,7535.85,7545.2,7452.8,199.65,-1.04,-0.010366440059691562,-0.010420545847201314,0.19766489003322926
2016-03-16,7498.75,7457.05,7508.0,7405.15,201.43,0.51,0.005113529742916123,0.005100500049307666,0.18577926887056873
2016-03-17,7512.55,7557.4,7585.3,7479.4,247.04,0.18,0.0018403067177863441,0.0018386154280552417,0.1847098791353267
2016-03-18,7604.35,7534.65,7613.6,7517.9,244.73,1.22,0.012219552615290397,0.01214549655978919,0.18503390486481266
2016-03-21,7704.25,7619.2,7713.55,7617.7,202.85,1.31,0.013137217513659927,0.013051672671276491,0.18857932531661187
2016-03-22,7714.9,7695.55,7728.2,7643.8,215.36,0.14,0.0013823538955770598,0.0013813993240332821,0.18870363093060022
2016-03-23,7716.5,7717.45,7726.85,7670.6,205.8,0.02,0.0002073908929474122,0.00020736939042907305,0.17283103558049642
2016-03-28,7615.1,7741.0,7749.4,7587.7,249.9,-1.31,-0.013140672584720958,-0.013227775121485097,0.1733126364331434
2016-03-29,7597.0,7606.55,7652.9,7582.25,223.49,-0.24,-0.002376856508778613,-0.0023796857161793887,0.17025078464925236
2016-03-30,7735.2,7651.1,7741.95,7643.45,239.84,1.82,0.01819139133868619,0.01802790766611606,0.17662088526397393
2016-03-31,7738.4,7727.65,7777.6,7702.0,391.91,0.04,0.0004136932464577914,0.00041360769899949964,0.17277602949803697
2016-04-01,7713.05,7718.05,7740.15,7666.1,189.57,-0.33,-0.003275870981081286,-0.003281248393441246,0.13964907460895323
2016-04-04,7758.8,7733.15,7764.45,7704.4,160.28,0.59,0.005931505694893646,0.005913983569240657,0.12536442199086292
2016-04-05,7603.2,7736.3,7736.3,7588.65,210.13,-2.01,-0.020054647625921573,-0.020258471755920285,0.14138341805305477
